Норма    Аномальный
-30.63006308766593  975.7328763583174
-47.80209301820936  1148.4176844612957
-54.21116186907682  1079.166948019908
-88.37242415024302  1134.0698493881828
-57.54132222615206  1139.8959540347853
-36.58281089202567  1099.1007929195798
-14.088594072305419  1306.0611930235607
-62.646602026380066  1107.4895048411938
-15.282121131853412  1177.4294842990562
-35.82823817368836  1148.074589195465
-28.202465796573396  1174.9087119019805
-69.78975869355912  1279.5334516521784
-71.2665115778566  1150.3453508268547
-23.99606560474938  1141.877106431196
-38.70612379909948  1187.7441052022386
0.9316515106090147  1095.810422208642
-21.322467489600662  1135.0656288629245
-38.22762653293801  1014.8986012849155
-55.19923765834005  1162.683896754499
-72.27532632315203  1115.3654330849754
-43.78379291363095  1123.9569243982405
-23.563873772457875  1142.3459005929603
-94.25670266079224  1120.635369850759
-21.979487551396502  995.3276976762004
-53.16804155561413  1151.5612147786376
-53.80284248621402  1022.2037038656048
-76.58267837976443  1191.183224381736
-26.471205718097558  1151.6847431109804
-25.75670068062519  1148.5975771544431
-54.39426750083156  914.3117794025887
-34.844570070214225  1114.0638769135367
-42.739714729161605  1116.4346404749376
-28.863064699457613  1173.7636696309728
-66.22935818269868  950.0433770092405
-43.757286617881235  1156.7158715400863
-18.04370915967657  1177.1761787504468
-35.55436639752298  1148.5067256964383
-8.833171968064292  1113.7987034036776
-16.052874148261463  1173.1787278498052
-70.39636578648144  1164.7390930176743
-41.606019640412356  1189.042582474526
-67.85719179918055  1138.154173798103
-93.61593734560365  1141.5148213813648
6.900921134648883  984.3573177949932
17.666977956027807  1174.8217191797858
-34.39001806638016  1138.5088704435925
-24.373790250052927  1012.2443157589732
-14.426627240110758  1198.3916884369403
-68.67471436427357  1183.2097757867584
-50.77959756468804  1167.0366148929647
-28.76732166250962  1167.444231184622
-49.00422435079772  1138.28304950113
-93.43279645070827  1115.573080371307
-9.96469820028638  1093.6595952684622
-20.88590465491674  1109.3246454505922
-59.33281696679026  1138.5763245100457
-9.189252840669853  1148.6248493116773
-7.63026450228409  1163.8097218636806
-40.11610750419147  1130.1067398185346
-7.342653605479663  1173.8133949510147
-43.006045061467304  1142.852190500416
-42.12812917402679  1147.4573310838277
-6.591378063614106  920.3543679876775
-43.099530207761326  1189.2193484130507
-13.421938928596372  1134.2595097530946
-51.40018336337565  942.4434323288519
-21.656757560030766  1130.9761064183365
-51.46701737951493  1109.806325272651
-59.023236686536336  1179.4978204211534
-39.087727504366136  1181.5497754637572
-73.97929618561513  1158.8127196384578
-112.54237322685586  1172.9338814812384
-36.426105933422086  1393.8111560982304
-44.949226244660785  1161.2806676926746
-53.42760739399417  1179.5899136748242
-24.62127598186678  1133.2928756439173
-56.90779919441668  1150.670737310714
-15.535648264056134  1116.2429149816699
-49.709555257555564  1202.601563086738
-55.99969944279721  1095.585529094575
-24.79541076820311  1184.565335088531
-59.99310505212644  1181.0506831324262
-59.88702797810948  1173.1701416090013
-8.797593399696106  1137.4402829198254
-30.327413525496596  1247.7774036891742
-6.951687675852185  990.4335745487041
-52.979021879155134  1148.9705565162867
-78.03923376822323  1125.5981399880823
-39.96392745885305  1184.2417474329445
-88.12134703693494  1020.4322887946124
-19.547407572365252  1142.0334601089237
-21.18434493073747  1189.003962280409
-12.948274341380605  1146.6414830445772
-87.06752198227585  1207.8445831270558
-30.880263215628297  1137.8254766013463
-25.071268574595194  1094.212377809604
-87.85431607388756  1144.3614299141948
-19.265498650170386  1174.8747161836793
-21.296073597564398  1083.9349663186806
-44.83077756427614  1161.5671018117273
